Structure;Index;Name;Visible;Tagged;Visibility Locked;Color;Calculate Charges;Number of Atoms;Molecular Formula;Molecular Composition;Molecular Weight;Exact Mol. Weight;Net Formal Charge;SourceTag;Compound;# Confs.;Matching Features;Score;Best Match;Pharmacophore-Fit Score;Source Database;Active/Decoy;mol index;Pharmacophore fit Score;Mol. Index
;341;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;4'-O-Methyldavidioside;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;44.639;Model-1-1;44.64;DHC_full.ldb;unknown;;;
;342;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;88126-55-0;117;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.2143;Model-1-1;45.21;DHC_full.ldb;unknown;;;
;343;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;72463-72-0;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.0096;Model-1-1;45.01;DHC_full.ldb;unknown;;;
;344;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;81119-34-8;376;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.5488;Model-1-1;45.55;DHC_full.ldb;unknown;;;
;345;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-47-8;50;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.2256;Model-1-1;46.23;DHC_full.ldb;unknown;;;
;346;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-48-9 (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.82;Model-1-1;45.82;DHC_full.ldb;unknown;;;
;347;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-49-0 (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;47.3415;Model-1-1;47.34;DHC_full.ldb;unknown;;;
;348;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-49-0 (S);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.9806;Model-1-1;46.98;DHC_full.ldb;unknown;;;
;349;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-48-9 (S);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.8049;Model-1-1;46.8;DHC_full.ldb;unknown;;;
;350;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;76015-51-5;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.5762;Model-1-1;45.58;DHC_full.ldb;unknown;;;
