1885097-49-3;OCC1O[C@@H](Oc2cc(O)c(C(=O)CCc3ccccc3)c(O)c2)[C@@H](O)C(OC(=O)c4cc(O)c(O)c(O)c4)[C@@H]1O
192222-56-3;COc1c(Cc2cc(Cc3cc(Cc4ccccc4O)ccc3O)ccc2O)c(O)c(Cc5ccccc5O)c(O)c1C(=O)CCc6ccccc6
192222-59-6;COc1c(Cc2ccccc2O)c(O)c(Cc3cc(Cc4cc(Cc5ccccc5O)ccc4O)ccc3O)c(O)c1C(=O)CCc6ccccc6
19253-17-9;C[C@H]1O[C@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)cc3)[C@@H](O)[C@@H](O)[C@@H]1O
19445-31-9;CC(C)CCCC1(C)CCc2c(O)c(cc(O)c2O1)C(=O)CCc3c(O)cccc3O
19445-32-0;CC(C)CCCC1(C)CCc2c(O)c(cc(O)c2O1)C(=O)CCc3cc(O)ccc3O
196863-37-3;COc1cc(O)ccc1CCC(=O)c2ccccc2
198137-78-9;COc1ccc(CCC(=O)c2c(O)cc(O)c(c2O)c3c(O)cc(O)c(C(=O)CCc4ccc(OC)cc4)c3O)cc1
2'-O-Methylphloretin;COc1cc(O)cc(O)c1C(=O)CCc2ccc(O)cc2
2001064-93-1;C[C@H]1O[C@@H](O[C@H]2[C@@H](O)[C@@H](C)O[C@H]([C@@H]2OC(=O)\C=C\c3ccc(O)cc3)c4c(O)cc(O)c(C(=O)CCc5ccc(O)cc5)c4O)[C@H](O)[C@@H](O)[C@H]1O
2002462-11-3;OC[C@H]1O[C@@H](OC2C(O)[C@H](O)[C@@H](CO)O[C@H]2Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)cc4)[C@H](O)[C@H]1O
202535-12-4;CC(=CCC\C(=C\COc1ccc(C(=O)C(O)Cc2ccc(O)cc2)c(O)c1)\C)C
2032374-09-5;O[C@@H]1CO[C@@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O)c2)[C@@H](O)C1O
2032374-10-8;O[C@@H]1CO[C@@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O)c2)[C@H](O)C1O
2032374-11-9;O[C@H]1CO[C@@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O)c2)[C@H](O)C1O
2032374-12-0;O[C@H]1CO[C@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O)c2)[C@H](O)C1O
2032374-16-4;CC1O[C@@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O)c2)[C@H](O)C(O)[C@@H]1O
2032374-18-6;O[C@@H]1CO[C@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)c(O)c3)[C@H](O)C1O
2032374-19-7;O[C@@H]1CO[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)c(O)c3)[C@H](O)C1O
2032374-20-0;O[C@H]1CO[C@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)c(O)c3)[C@@H](O)C1O
2032374-21-1;O[C@@H]1CO[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)c(O)c3)[C@@H](O)C1O
2032374-33-5;CC1OC(Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c2C(=O)CCc4ccc(O)c(O)c4)C(O)C(O)C1O
2032374-35-7;CC1O[C@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O[C@@H]4OC(CO)[C@@H](O)C(O)[C@@H]4O)c2)[C@H](O)C(O)[C@@H]1O
2032374-37-9;OCC1O[C@@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O[C@@H]4OC(CO)[C@H](O)C(O)[C@@H]4O)c2)[C@@H](O)C(O)[C@H]1O
2032374-41-5;CC1O[C@H](Oc2cc(O)c(C(=O)CCc3ccc(O)c(O)c3)c(O[C@@H]4OC(CO)[C@H](O)C(O)[C@@H]4O)c2)[C@H](O)C(O)[C@@H]1O
2032374-43-7;CC1O[C@@H](OCC2O[C@@H](Oc3cc(O)c(C(=O)CCc4ccc(O)c(O)c4)c(O)c3)[C@@H](O)C(O)[C@@H]2O)[C@H](O)C(O)[C@@H]1O
2032374-46-0;OC1COC(OCC2OC(Oc3cc(O)c(C(=O)CCc4ccc(O)c(O)c4)c(O)c3)C(O)C(O)C2O)C(O)C1O
2032374-55-1;C[C@H]1O[C@H](OC[C@H]2O[C@@H](Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)c(O)c4)C(O)C(O)[C@@H]2O)C(O)C(O)[C@@H]1O
2032374-56-2;OC1COC(OCC2OC(Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)c(O)c4)C(O)C(O)C2O)C(O)C1O
2032374-58-4;OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)c(O)c3)C(O[C@H]4OC[C@H](O)C(O)C4O)C(O)[C@@H]1O
2032374-60-8;OCC1O[C@@H](O[C@H]2C(O)[C@H](O)C(CO)O[C@H]2Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)c(O)c4)[C@H](O)C(O)[C@@H]1O
205109-18-8;CC(=CCC\C(=C\Cc1c(O)cc(O)c(C(=O)CCc2cc(O)c3OC(C)(C)C=Cc3c2)c1O)\C)C
205109-19-9;CC(=CCC\C(=C\Cc1c(O)cc(O)c(C(=O)CCc2cc(O)c(O)c(CC=C(C)C)c2)c1O)\C)C
205109-20-2;CC(=CCc1cc(CCC(=O)c2c(O)cc(O)c(CC=C(C)C)c2O)cc(O)c1O)C
205109-21-3;CC1(C)Oc2c(O)cc(CCC(=O)c3c(O)cc4OC5(C)CCCC(C)(C)C5Cc4c3O)cc2C=C1
205109-22-4;CC1(C)Oc2c(O)cc(CCC(=O)c3c(O)cc(O)c4CC5C(C)(C)CCCC5(C)Oc34)cc2C=C1
205109-23-5;CC(C)(O)CCCC1(C)CCc2c(O)c(C(=O)CCc3cc(O)c4OC(C)(C)C=Cc4c3)c(O)cc2O1
